"Time (s) Run #5","Temperature (°C) Run #5"
302.000,87.0
302.500,87.0
303.000,87.0
303.500,87.0
304.000,87.0
304.500,87.0
305.000,86.9
305.500,86.9
306.000,86.9
306.500,86.9
307.000,86.9
307.500,86.9
308.000,86.9
308.500,86.9
309.000,86.9
309.500,86.9
310.000,86.9
310.500,86.9
311.000,86.9
311.500,86.9
312.000,86.9
312.500,86.8
313.000,86.8
313.500,86.8
314.000,86.8
314.500,86.8
315.000,86.8
315.500,86.8
316.000,86.8
316.500,86.8
317.000,86.8
317.500,86.8
318.000,86.8
318.500,86.8
319.000,86.8
319.500,86.8
320.000,86.8
320.500,86.8
321.000,86.8
321.500,86.8
322.000,86.7
322.500,86.7
323.000,86.7
323.500,86.7
324.000,86.7
324.500,86.7
325.000,86.7
325.500,86.7
326.000,86.7
326.500,86.7
327.000,86.7
327.500,86.7
328.000,86.7
328.500,86.6
329.000,86.6
329.500,86.6
330.000,86.7
330.500,86.7
331.000,86.7
331.500,86.7
332.000,86.7
332.500,86.7
333.000,86.7
333.500,86.7
334.000,86.7
334.500,86.7
335.000,86.7
335.500,86.7
336.000,86.7
336.500,86.7
337.000,86.7
337.500,86.7
338.000,86.7
338.500,86.7
339.000,86.7
339.500,86.7
340.000,86.7
340.500,86.7
341.000,86.7
341.500,86.7
342.000,86.7
342.500,86.7
343.000,86.7
343.500,86.7
344.000,86.6
344.500,86.6
345.000,86.6
345.500,86.6
346.000,86.6
346.500,86.6
347.000,86.6
347.500,86.6
348.000,86.6
348.500,86.6
349.000,86.6
349.500,86.6
350.000,86.6
350.500,86.6
351.000,86.6
351.500,86.6
352.000,86.6
352.500,86.5
353.000,86.5
353.500,86.5
354.000,86.5
354.500,86.5
355.000,86.5
355.500,86.5
356.000,86.5
356.500,86.5
357.000,86.5
357.500,86.5
358.000,86.5
358.500,86.5
359.000,86.5
359.500,86.5
360.000,86.5
360.500,86.4
361.000,86.4
361.500,86.4
362.000,86.4
362.500,86.4
363.000,86.4
363.500,86.4
364.000,86.4
364.500,86.4
365.000,86.4
365.500,86.4
366.000,86.4
366.500,86.4
367.000,86.4
367.500,86.4
368.000,86.4
368.500,86.4
369.000,86.4
369.500,86.4
370.000,86.4
370.500,86.4
371.000,86.4
371.500,86.4
372.000,86.4
372.500,86.4
373.000,86.4
373.500,86.4
374.000,86.4
374.500,86.4
375.000,86.4
375.500,86.4
376.000,86.4
376.500,86.4
377.000,86.4
377.500,86.4
378.000,86.3
378.500,86.3
379.000,86.3
379.500,86.3
380.000,86.3
380.500,86.3
381.000,86.3
381.500,86.3
382.000,86.3
382.500,86.3
383.000,86.2
383.500,86.2
384.000,86.2
384.500,86.2
385.000,86.2
385.500,86.2
386.000,86.2
386.500,86.2
387.000,86.2
387.500,86.2
388.000,86.2
388.500,86.2
389.000,86.2
389.500,86.2
390.000,86.2
390.500,86.2
391.000,86.2
391.500,86.2
392.000,86.2
392.500,86.2
393.000,86.2
393.500,86.2
394.000,86.2
394.500,86.2
395.000,86.2
395.500,86.2
396.000,86.2
396.500,86.2
397.000,86.2
397.500,86.2
398.000,86.2
398.500,86.2
399.000,86.2
399.500,86.2
400.000,86.2
400.500,86.2
401.000,86.2
401.500,86.1
402.000,86.1
402.500,86.1
403.000,86.1
403.500,86.1
404.000,86.1
404.500,86.1
405.000,86.1
405.500,86.1
406.000,86.1
406.500,86.1
407.000,86.1
407.500,86.1
408.000,86.1
408.500,86.1
409.000,86.1
409.500,86.1
410.000,86.1
410.500,86.1
411.000,86.1
411.500,86.1
412.000,86.1
412.500,86.1
413.000,86.1
413.500,86.1
414.000,86.1
414.500,86.1
415.000,86.1
415.500,86.1
416.000,86.0
416.500,86.0
417.000,86.0
417.500,86.0
418.000,86.0
418.500,86.0
419.000,86.0
419.500,86.0
420.000,86.0
420.500,86.0
421.000,86.0
421.500,86.0
422.000,86.0
422.500,86.0
423.000,86.0
423.500,86.0
424.000,86.0
424.500,86.0
425.000,86.0
425.500,86.0
426.000,86.0
426.500,86.0
427.000,86.0
427.500,86.0
428.000,86.0
428.500,86.0
429.000,86.0
429.500,86.0
430.000,86.0
430.500,86.0
431.000,86.0
431.500,86.0
432.000,86.0
432.500,86.0
433.000,86.0
433.500,86.0
434.000,86.0
434.500,86.0
435.000,86.0
435.500,86.0
436.000,86.0
436.500,86.0
437.000,86.0
437.500,86.0
438.000,86.0
438.500,85.9
439.000,85.9
439.500,85.9
440.000,85.9
440.500,85.9
441.000,85.9
441.500,85.9
442.000,85.9
442.500,85.9
443.000,85.9
443.500,85.9
444.000,85.8
444.500,85.8
445.000,85.8
445.500,85.8
446.000,85.8
446.500,85.8
447.000,85.8
447.500,85.8
448.000,85.8
448.500,85.7
449.000,85.7
449.500,85.7
450.000,85.7
450.500,85.7
451.000,85.7
451.500,85.7
452.000,85.7
452.500,85.7
453.000,85.7
453.500,85.7
454.000,85.7
454.500,85.7
455.000,85.7
455.500,85.7
456.000,85.7
456.500,85.7
457.000,85.7
457.500,85.7
458.000,85.7
458.500,85.7
459.000,85.7
459.500,85.7
460.000,85.7
460.500,85.7
461.000,85.7
461.500,85.7
462.000,85.7
462.500,85.7
463.000,85.6
463.500,85.6
464.000,85.6
464.500,85.6
465.000,85.6
465.500,85.6
466.000,85.6
466.500,85.6
467.000,85.6
467.500,85.6
468.000,85.6
468.500,85.6
469.000,85.5
469.500,85.5
470.000,85.5
470.500,85.5
471.000,85.5
471.500,85.5
472.000,85.5
472.500,85.5
473.000,85.5
473.500,85.5
474.000,85.5
474.500,85.5
475.000,85.5
475.500,85.5
476.000,85.5
476.500,85.5
477.000,85.5
477.500,85.5
478.000,85.5
478.500,85.5
479.000,85.5
479.500,85.5
480.000,85.5
480.500,85.5
481.000,85.5
481.500,85.5
482.000,85.5
482.500,85.5
483.000,85.5
483.500,85.5
484.000,85.5
484.500,85.5
485.000,85.5
485.500,85.5
486.000,85.5
486.500,85.5
487.000,85.5
487.500,85.5
488.000,85.5
488.500,85.5
489.000,85.5
489.500,85.5
490.000,85.5
490.500,85.5
491.000,85.5
491.500,85.5
492.000,85.5
492.500,85.5
493.000,85.5
493.500,85.5
494.000,85.5
494.500,85.5
495.000,85.5
495.500,85.5
496.000,85.5
496.500,85.4
497.000,85.4
497.500,85.4
498.000,85.4
498.500,85.4
499.000,85.4
499.500,85.4
500.000,85.4
500.500,85.4
501.000,85.4
501.500,85.4
502.000,85.4
502.500,85.4
503.000,85.4
503.500,85.4
504.000,85.4
504.500,85.4
505.000,85.4
505.500,85.4
506.000,85.4
506.500,85.4
507.000,85.4
507.500,85.4
508.000,85.3
508.500,85.3
509.000,85.3
509.500,85.3
510.000,85.3
510.500,85.3
511.000,85.3
511.500,85.3
512.000,85.3
512.500,85.3
513.000,85.3
513.500,85.3
514.000,85.3
514.500,85.3
515.000,85.3
515.500,85.3
516.000,85.3
516.500,85.3
517.000,85.3
517.500,85.3
518.000,85.3
518.500,85.3
519.000,85.3
519.500,85.3
520.000,85.3
520.500,85.3
521.000,85.3
521.500,85.3
522.000,85.3
522.500,85.2
523.000,85.2
523.500,85.2
524.000,85.2
524.500,85.2
525.000,85.2
525.500,85.2
526.000,85.2
526.500,85.2
527.000,85.2
527.500,85.2
528.000,85.2
528.500,85.2
529.000,85.2
529.500,85.2
530.000,85.2
530.500,85.2
531.000,85.2
531.500,85.2
532.000,85.2
532.500,85.2
533.000,85.2
533.500,85.2
534.000,85.2
534.500,85.2
535.000,85.2
535.500,85.2
536.000,85.2
536.500,85.2
537.000,85.2
537.500,85.2
538.000,85.2
538.500,85.2
539.000,85.2
539.500,85.2
540.000,85.2
540.500,85.2
541.000,85.2
541.500,85.2
542.000,85.2
542.500,85.1
543.000,85.1
543.500,85.1
544.000,85.1
544.500,85.1
545.000,85.1
545.500,85.1
546.000,85.1
546.500,85.1
547.000,85.1
547.500,85.1
548.000,85.1
548.500,85.1
549.000,85.1
549.500,85.1
550.000,85.1
550.500,85.1
551.000,85.1
551.500,85.1
552.000,85.1
552.500,85.1
553.000,85.1
553.500,85.1
554.000,85.1
554.500,85.1
555.000,85.1
555.500,85.1
556.000,85.1
556.500,85.1
557.000,85.1
557.500,85.1
558.000,85.1
558.500,85.0
559.000,85.0
559.500,85.0
560.000,85.0
560.500,85.0
561.000,85.0
561.500,85.0
562.000,85.0
562.500,85.0
563.000,85.0
563.500,85.0
564.000,85.0
564.500,85.0
565.000,85.0
565.500,85.0
566.000,85.0
566.500,85.0
567.000,85.0
567.500,85.0
568.000,85.0
568.500,85.0
569.000,84.9
569.500,84.9
570.000,84.9
570.500,84.9
571.000,84.9
571.500,84.9
572.000,84.9
572.500,84.9
573.000,84.9
573.500,84.9
574.000,84.9
574.500,84.9
575.000,84.9
575.500,84.9
576.000,84.9
576.500,84.9
577.000,84.9
577.500,84.9
578.000,84.9
578.500,84.9
579.000,84.9
579.500,84.8
580.000,84.8
580.500,84.8
581.000,84.8
581.500,84.8
582.000,84.8
582.500,84.8
583.000,84.8
583.500,84.8
584.000,84.8
584.500,84.8
585.000,84.8
585.500,84.8
586.000,84.8
586.500,84.8
587.000,84.8
587.500,84.8
588.000,84.8
588.500,84.8
589.000,84.8
589.500,84.8
590.000,84.8
590.500,84.8
591.000,84.8
591.500,84.8
592.000,84.8
592.500,84.8
593.000,84.8
593.500,84.8
594.000,84.8
594.500,84.8
595.000,84.8
595.500,84.8
596.000,84.8
596.500,84.8
597.000,84.8
597.500,84.8
598.000,84.8
598.500,84.8
599.000,84.8
599.500,84.8
600.000,84.8
600.500,84.8
601.000,84.8
601.500,84.8
602.000,84.8
602.500,84.8
603.000,84.7
603.500,84.7
604.000,84.7
604.500,84.7
605.000,84.7
605.500,84.7
606.000,84.7
606.500,84.7
607.000,84.7
607.500,84.7
608.000,84.7
608.500,84.7
609.000,84.7
609.500,84.7
610.000,84.7
610.500,84.7
611.000,84.7
611.500,84.6
612.000,84.6
612.500,84.6
613.000,84.6
613.500,84.6
614.000,84.6
614.500,84.6
615.000,84.6
615.500,84.6
616.000,84.6
616.500,84.6
617.000,84.6
617.500,84.6
618.000,84.6
618.500,84.6
619.000,84.6
619.500,84.6
620.000,84.6
620.500,84.6
621.000,84.6
621.500,84.6
622.000,84.6
622.500,84.6
623.000,84.5
623.500,84.5
624.000,84.5
624.500,84.5
625.000,84.5
625.500,84.5
626.000,84.5
626.500,84.5
627.000,84.5
627.500,84.5
628.000,84.5
628.500,84.5
629.000,84.5
629.500,84.5
630.000,84.5
630.500,84.5
631.000,84.5
631.500,84.5
632.000,84.5
632.500,84.5
633.000,84.5
633.500,84.5
634.000,84.5
634.500,84.5
635.000,84.5
635.500,84.5
636.000,84.5
636.500,84.5
637.000,84.5
637.500,84.5
638.000,84.5
638.500,84.5
639.000,84.5
639.500,84.5
640.000,84.5
640.500,84.5
641.000,84.5
641.500,84.5
642.000,84.5
642.500,84.5
643.000,84.5
643.500,84.5
644.000,84.5
644.500,84.5
645.000,84.5
645.500,84.5
646.000,84.5
646.500,84.5
647.000,84.5
647.500,84.5
648.000,84.5
648.500,84.5
649.000,84.5
649.500,84.5
650.000,84.5
650.500,84.5
651.000,84.4
651.500,84.4
652.000,84.4
652.500,84.4
653.000,84.4
653.500,84.4
654.000,84.4
654.500,84.4
655.000,84.4
655.500,84.4
656.000,84.4
656.500,84.4
657.000,84.4
657.500,84.4
658.000,84.4
658.500,84.4
659.000,84.4
659.500,84.4
660.000,84.3
660.500,84.3
661.000,84.3
661.500,84.3
662.000,84.3
662.500,84.3
663.000,84.3
663.500,84.3
664.000,84.3
664.500,84.3
665.000,84.3
665.500,84.3
666.000,84.3
666.500,84.3
667.000,84.3
667.500,84.3
668.000,84.3
668.500,84.3
669.000,84.3
669.500,84.3
670.000,84.3
670.500,84.3
671.000,84.3
671.500,84.3
672.000,84.3
672.500,84.3
673.000,84.3
673.500,84.3
674.000,84.3
674.500,84.3
675.000,84.3
675.500,84.3
676.000,84.3
676.500,84.3
677.000,84.3
677.500,84.2
678.000,84.2
678.500,84.2
679.000,84.2
679.500,84.2
680.000,84.2
680.500,84.2
681.000,84.2
681.500,84.2
682.000,84.2
682.500,84.2
683.000,84.2
683.500,84.2
684.000,84.2
684.500,84.2
685.000,84.2
685.500,84.2
686.000,84.2
686.500,84.2
687.000,84.2
687.500,84.2
688.000,84.2
688.500,84.2
689.000,84.2
689.500,84.2
690.000,84.2
690.500,84.2
691.000,84.2
691.500,84.1
692.000,84.1
692.500,84.1
693.000,84.1
693.500,84.1
694.000,84.1
694.500,84.1
695.000,84.1
695.500,84.1
696.000,84.1
696.500,84.1
697.000,84.1
697.500,84.1
698.000,84.1
698.500,84.1
699.000,84.1
699.500,84.1
700.000,84.1
700.500,84.1
701.000,84.1
701.500,84.1
702.000,84.1
702.500,84.1
703.000,84.1
703.500,84.1
704.000,84.1
704.500,84.1
705.000,84.1
705.500,84.1
706.000,84.1
706.500,84.1
707.000,84.1
707.500,84.1
708.000,84.1
708.500,84.1
709.000,84.1
709.500,84.1
710.000,84.1
710.500,84.1
711.000,84.1
711.500,84.1
712.000,84.1
712.500,84.1
713.000,84.1
713.500,84.1
714.000,84.1
714.500,84.0
715.000,84.0
715.500,84.0
716.000,84.0
716.500,84.0
717.000,84.0
717.500,84.0
718.000,84.0
718.500,84.0
719.000,84.0
719.500,84.0
720.000,84.0
720.500,84.0
721.000,84.0
721.500,84.0
722.000,84.0
722.500,84.0
723.000,84.0
723.500,84.0
724.000,84.0
724.500,84.0
725.000,84.0
725.500,84.0
726.000,84.0
726.500,84.0
727.000,84.0
727.500,83.9
728.000,83.9
728.500,83.9
729.000,83.9
729.500,83.9
730.000,83.9
730.500,83.9
731.000,83.9
731.500,83.9
732.000,83.9
732.500,83.9
733.000,83.9
733.500,83.9
734.000,83.9
734.500,83.9
735.000,83.9
735.500,83.9
736.000,83.9
736.500,83.9
737.000,83.9
737.500,83.9
738.000,83.9
738.500,83.9
739.000,83.9
739.500,83.9
740.000,83.9
740.500,83.9
741.000,83.9
741.500,83.9
742.000,83.9
742.500,83.9
743.000,83.9
743.500,83.9
744.000,83.9
744.500,83.8
745.000,83.8
745.500,83.8
746.000,83.8
746.500,83.8
747.000,83.8
747.500,83.8
748.000,83.8
748.500,83.8
749.000,83.8
749.500,83.8
750.000,83.8
750.500,83.8
751.000,83.8
751.500,83.8
752.000,83.8
752.500,83.8
753.000,83.8
753.500,83.8
754.000,83.8
754.500,83.8
755.000,83.8
755.500,83.8
756.000,83.8
756.500,83.8
757.000,83.8
757.500,83.8
758.000,83.8
758.500,83.8
759.000,83.8
759.500,83.8
760.000,83.8
760.500,83.8
761.000,83.8
761.500,83.8
762.000,83.8
762.500,83.8
763.000,83.8
763.500,83.8
764.000,83.8
764.500,83.8
765.000,83.8
765.500,83.7
766.000,83.7
766.500,83.7
767.000,83.7
767.500,83.7
768.000,83.7
768.500,83.7
769.000,83.7
769.500,83.7
770.000,83.7
770.500,83.7
771.000,83.7
771.500,83.7
772.000,83.7
772.500,83.7
773.000,83.7
773.500,83.7
774.000,83.7
774.500,83.7
775.000,83.7
775.500,83.7
776.000,83.7
776.500,83.6
777.000,83.6
777.500,83.6
778.000,83.6
778.500,83.6
779.000,83.6
779.500,83.6
780.000,83.6
780.500,83.6
781.000,83.6
781.500,83.6
782.000,83.6
782.500,83.6
783.000,83.6
783.500,83.6
784.000,83.6
784.500,83.6
785.000,83.6
785.500,83.6
786.000,83.6
786.500,83.6
787.000,83.6
787.500,83.5
788.000,83.5
788.500,83.5
789.000,83.5
789.500,83.5
790.000,83.5
790.500,83.5
791.000,83.5
791.500,83.5
792.000,83.5
792.500,83.5
793.000,83.5
793.500,83.5
794.000,83.5
794.500,83.5
795.000,83.5
795.500,83.5
796.000,83.5
796.500,83.5
797.000,83.5
797.500,83.5
798.000,83.5
798.500,83.5
799.000,83.5
