#dadi:   5
#lanci:  2000000
#volte:  10000
#thread: 50
#totale: 1000000000000
[5400/500000|1%]	4340291833	4340286959	1736045162	347260444	34727846	1387756
[5450/500000|1%]	4380484397	4380466528	1752122968	350475809	35049654	1400644
[5500/500000|1%]	4420667848	4420652558	1768205914	353688702	35371341	1413637
[5550/500000|1%]	4460857434	4460841362	1784278667	356903091	35693031	1426415
[5600/500000|1%]	4501049123	4501030665	1800351081	360115251	36014693	1439187
[5650/500000|1%]	4541237451	4541223602	1816421928	363327690	36337177	1452152
[5700/500000|1%]	4581429544	4581408076	1832493667	366545166	36658490	1465057
[5750/500000|1%]	4621612376	4621600395	1848568730	369760563	36980076	1477860
[5800/500000|1%]	4661797393	4661789523	1864644716	372975381	37302192	1490795
[5850/500000|1%]	4701992385	4701971807	1880721029	376188237	37622819	1503723
[5900/500000|1%]	4742173226	4742159651	1896800892	379405968	37943713	1516550
[5950/500000|1%]	4782358958	4782341358	1912882826	382623010	38264502	1529346
[6000/500000|1%]	4822541189	4822537864	1928958003	385835789	38584984	1542171
[6050/500000|1%]	4862731221	4862728226	1945029710	389049354	38906236	1555253
[6100/500000|1%]	4902922569	4902909859	1961105465	392266766	39227144	1568197
[6150/500000|1%]	4943109723	4943092568	1977187085	395481651	39547761	1581212
[6200/500000|1%]	4983296065	4983281684	1993260630	398698367	39869237	1594017
[6250/500000|1%]	5023487511	5023465423	2009338171	401911756	40190243	1606896
[6300/500000|1%]	5063676408	5063655394	2025412492	405124582	40511342	1619782
[6350/500000|1%]	5103862147	5103846884	2041489660	408335042	40833597	1632670
[6400/500000|1%]	5144056897	5144029625	2057563492	411548894	41155645	1645447
[6450/500000|1%]	5184246044	5184214509	2073639295	414764563	41477454	1658135
[6500/500000|1%]	5224426256	5224410117	2089713750	417979727	41799129	1671021
[6550/500000|1%]	5264620148	5264588232	2105788957	421198422	42120311	1683930
[6600/500000|1%]	5304799276	5304784228	2121867569	424411427	42440805	1696695
[6650/500000|1%]	5344984161	5344974049	2137942903	427627853	42761540	1709494
[6700/500000|1%]	5385174665	5385159732	2154015037	430844974	43083179	1722413
[6750/500000|1%]	5425352779	5425354621	2170092432	434060367	43404385	1735416
[6800/500000|1%]	5465545224	5465543920	2186163857	437273053	43725714	1748232
[6850/500000|1%]	5505735286	5505732547	2202236625	440487270	44047147	1761125
[6900/500000|1%]	5545922701	5545923180	2218312307	443699011	44368819	1773982
[6950/500000|1%]	5586114407	5586109355	2234382917	446916219	44690331	1786771
[7000/500000|1%]	5626301233	5626296558	2250461119	450129928	45011647	1799515
[7050/500000|1%]	5666490813	5666485644	2266530943	453346809	45333428	1812363
[7100/500000|1%]	5706678130	5706670950	2282607946	456563160	45654572	1825242
[7150/500000|1%]	5746866056	5746863820	2298678638	459776547	45976701	1838238
[7200/500000|1%]	5787050863	5787053837	2314754933	462991041	46298384	1850942
[7250/500000|1%]	5827244705	5827236154	2330830325	466205420	46619708	1863688
[7300/500000|1%]	5867435234	5867418115	2346904160	469424045	46941859	1876587
[7350/500000|1%]	5907628323	5907606872	2362971439	472640381	47263461	1889524
[7400/500000|1%]	5947816427	5947794503	2379048151	475853347	47585008	1902564
[7450/500000|1%]	5987994978	5987990417	2395122288	479070033	47906725	1915559
[7500/500000|1%]	6028177225	6028187075	2411193475	482285186	48228649	1928390
[7550/500000|1%]	6068363473	6068375277	2427269562	485500471	48549969	1941248
[7600/500000|1%]	6108549048	6108563671	2443347456	488715020	48870708	1954097
[7650/500000|1%]	6148733654	6148754147	2459419823	491932714	49192593	1967069
[7700/500000|1%]	6188926658	6188937127	2475494881	495147054	49514449	1979831
[7750/500000|1%]	6229114849	6229128853	2491566270	498361127	49836169	1992732
[7800/500000|1%]	6269300113	6269320917	2507639228	501576075	50158245	2005422
[7850/500000|1%]	6309481086	6309518261	2523712592	504790242	50479578	2018241
[7900/500000|1%]	6349673483	6349702967	2539786678	508004612	50801015	2031245
[7950/500000|1%]	6389865189	6389891370	2555858180	511219208	51122051	2044002
[8000/500000|1%]	6430053280	6430079267	2571932705	514433860	51444026	2056862
[8050/500000|1%]	6470243769	6470265288	2588004027	517651440	51765747	2069729
[8100/500000|1%]	6510428682	6510453895	2604081872	520865066	52087893	2082592
[8150/500000|1%]	6550622187	6550635956	2620155805	524080262	52410341	2095449
[8200/500000|1%]	6590802714	6590828535	2636235503	527294192	52730895	2108161
[8250/500000|1%]	6630985312	6631016626	2652314774	530510654	53051673	2120961
[8300/500000|1%]	6671178997	6671206945	2668382870	533724517	53372665	2134006
[8350/500000|1%]	6711365242	6711401158	2684455342	536937751	53693726	2146781
[8400/500000|1%]	6751544988	6751590031	2700538736	540151381	54014902	2159962
[8450/500000|1%]	6791731127	6791774336	2716618538	543366943	54336598	2172458
[8500/500000|1%]	6831906462	6831967456	2732698998	546583513	54658003	2185568
[8550/500000|1%]	6872090711	6872158166	2748774008	549798893	54979875	2198347
[8600/500000|1%]	6912278556	6912343834	2764850442	553013630	55302322	2211216
[8650/500000|1%]	6952468771	6952529834	2780926822	556226953	55623637	2223983
[8700/500000|1%]	6992652945	6992717530	2797003606	559443492	55945480	2236947
[8750/500000|1%]	7032840335	7032908404	2813076656	562657704	56267119	2249782
[8800/500000|1%]	7073023004	7073101522	2829151928	565872381	56588356	2262809
[8850/500000|1%]	7113208182	7113294251	2845223450	569089088	56909302	2275727
[8900/500000|1%]	7153397506	7153470902	2861306720	572306279	57229893	2288700
[8950/500000|1%]	7193589572	7193656306	2877380621	575520837	57551229	2301435
[9000/500000|1%]	7233777453	7233838930	2893460160	578736060	57873165	2314232
[9050/500000|1%]	7273975219	7274022847	2909531923	581948020	58194577	2327414
[9100/500000|1%]	7314158000	7314209834	2925613014	585162385	58516622	2340145
[9150/500000|1%]	7354344410	7354394689	2941692201	588377192	58838477	2353031
[9200/500000|1%]	7394525310	7394579907	2957774981	591593653	59160282	2365867
[9250/500000|1%]	7434715345	7434770597	2973844869	594808484	59481868	2378837
[9300/500000|1%]	7474903357	7474964356	2989914289	598022309	59803923	2391766
[9350/500000|1%]	7515090208	7515159868	3005982022	601237969	60125371	2404562
[9400/500000|1%]	7555281803	7555340261	3022058125	604455194	60447153	2417464
[9450/500000|1%]	7595476027	7595524107	3038135142	607665833	60768465	2430426
[9500/500000|1%]	7635663482	7635708806	3054210901	610883129	61090459	2443223
[9550/500000|1%]	7675843401	7675902183	3070287454	614099442	61411393	2456127
[9600/500000|1%]	7716029350	7716092331	3086363189	617313387	61732748	2468995
[9650/500000|1%]	7756220275	7756281976	3102434768	620527433	62053716	2481832
[9700/500000|1%]	7796406922	7796472288	3118508416	623741765	62376023	2494586
[9750/500000|1%]	7836594224	7836655398	3134587563	626957876	62697293	2507646
[9800/500000|1%]	7876778582	7876847882	3150657578	630176434	63018975	2520549
[9850/500000|1%]	7916965185	7917039467	3166730104	633392676	63339312	2533256
[9900/500000|1%]	7957154591	7957224866	3182806322	636608128	63659967	2546126
[9950/500000|1%]	7997343105	7997416728	3198875858	639824338	63981036	2558935
[10000/500000|2%]	8037536847	8037602506	3214948375	643038781	64301785	2571706
[10050/500000|2%]	8077725511	8077785830	3231025434	646254945	64623809	2584471
[10100/500000|2%]	8117910109	8117973172	3247104930	649468824	64945471	2597494
[10150/500000|2%]	8158095874	8158164788	3263180415	652681401	65267100	2610422
[10200/500000|2%]	8198285155	8198357174	3279250535	655895658	65588004	2623474
[10250/500000|2%]	8238477085	8238541549	3295324132	659111039	65909996	2636199
[10300/500000|2%]	8278663378	8278730406	3311399912	662325511	66231760	2649033
[10350/500000|2%]	8318856644	8318920396	3327469017	665538966	66553015	2661962
[10400/500000|2%]	8359050301	8359102011	3343547477	668750217	66875166	2674828
[10450/500000|2%]	8399246415	8399283380	3359621319	671965292	67195906	2687688
[10500/500000|2%]	8439434557	8439471700	3375693916	675181760	67517494	2700573
[10550/500000|2%]	8479631140	8479649455	3391769187	678398058	67838758	2713402
[10600/500000|2%]	8519824068	8519828153	3407845590	681615419	68160674	2726096
[10650/500000|2%]	8560012742	8560017903	3423920248	684827866	68482343	2738898
[10700/500000|2%]	8600197465	8600202819	3440000129	688044705	68803343	2751539
[10750/500000|2%]	8640396709	8640378662	3456077377	691258235	69124636	2764381
[10800/500000|2%]	8680585618	8680560093	3472156830	694473728	69446693	2777038
[10850/500000|2%]	8720781221	8720745997	3488228928	697686326	69767503	2790025
[10900/500000|2%]	8760959666	8760938649	3504308716	700900897	70089285	2802787
[10950/500000|2%]	8801145377	8801131415	3520384788	704112964	70409691	2815765
[11000/500000|2%]	8841330342	8841328491	3536455381	707326446	70730629	2828711
[11050/500000|2%]	8881503503	8881528902	3552531663	710542510	71051832	2841590
[11100/500000|2%]	8921694096	8921707520	3568613722	713757084	71373197	2854381
[11150/500000|2%]	8961875473	8961897419	3584692334	716972861	71694596	2867317
[11200/500000|2%]	9002063994	9002088021	3600764487	720187555	72015679	2880264
[11250/500000|2%]	9042248235	9042280015	3616839379	723402985	72336300	2893086
[11300/500000|2%]	9082433793	9082468959	3632917760	726615665	72657769	2906054
[11350/500000|2%]	9122628887	9122644699	3648996046	729831781	72979554	2919033
[11400/500000|2%]	9162815487	9162831370	3665072952	733046847	73301585	2931759
[11450/500000|2%]	9203001180	9203017401	3681148078	736265362	73623389	2944590
[11500/500000|2%]	9243193588	9243208667	3697220620	739476027	73943779	2957319
[11550/500000|2%]	9283379381	9283399068	3713294876	742690057	74266503	2970115
[11600/500000|2%]	9323559407	9323592852	3729372041	745904520	74588229	2982951
[11650/500000|2%]	9363752488	9363771875	3745453218	749117604	74909002	2995813
[11700/500000|2%]	9403943044	9403960611	3761524178	752332385	75231064	3008718
[11750/500000|2%]	9444124795	9444154570	3777600227	755546983	75552000	3021425
[11800/500000|2%]	9484307329	9484350321	3793671799	758761659	75874565	3034327
[11850/500000|2%]	9524488957	9524545900	3809744714	761976156	76197116	3047157
[11900/500000|2%]	9564682441	9564731434	3825816567	765191442	76517983	3060133
[11950/500000|2%]	9604881394	9604907380	3841887807	768409743	76840854	3072822
[12000/500000|2%]	9645055953	9645101080	3857965829	771629241	77162354	3085543
[12050/500000|2%]	9685244796	9685285985	3874042337	774845118	77483515	3098249
[12100/500000|2%]	9725435097	9725472362	3890116121	778060391	77804846	3111183
[12150/500000|2%]	9765619316	9765659523	3906194359	781276014	78126690	3124098
[12200/500000|2%]	9805813216	9805843500	3922264631	784493336	78448382	3136935
[12250/500000|2%]	9846009050	9846031824	3938330806	787708107	78770194	3150019
[12300/500000|2%]	9886188183	9886219957	3954411129	790926544	79091186	3163001
[12350/500000|2%]	9926383356	9926398267	3970488643	794140866	79413136	3175732
[12400/500000|2%]	9966578686	9966579039	3986558996	797359882	79734724	3188673
[12450/500000|2%]	10006763802	10006768456	4002634827	800575381	80056070	3201464
[12500/500000|2%]	10046946833	10046953616	4018712221	803795316	80377765	3214249
[12550/500000|2%]	10087134470	10087141362	4034785785	807011510	80699692	3227181
[12600/500000|2%]	10127322277	10127327903	4050859013	810228776	81022052	3239979
[12650/500000|2%]	10167513209	10167511770	4066935650	813443318	81343252	3252801
[12700/500000|2%]	10207707986	10207693212	4083012730	816656017	81664275	3265780
[12750/500000|2%]	10247897917	10247876655	4099087751	819873232	81985994	3278451
[12800/500000|2%]	10288086392	10288063225	4115163821	823088929	82306433	3291200
[12850/500000|2%]	10328279129	10328245914	4131237571	826304879	82628458	3304049
[12900/500000|2%]	10368468055	10368434173	4147313287	829518361	82949391	3316733
