min.x,δ(min.x),min.y,δ(min.y),ln(min.y),δ(ln(min.y)),max.x,δ(max.x),max.y,δ(max.y),ln(max.y),δ(ln(max.y))
35.767,0.065,-0.225,0.02,-1.491654876777717,0.08888888888888889,36.3155,0.018000000000000002,0.216,0.02,-1.5324768712979722,0.0925925925925926
36.8585,0.068,-0.22,0.02,-1.5141277326297755,0.09090909090909091,37.4095,0.012,0.212,0.02,-1.5511690043101247,0.09433962264150944
37.950500000000005,0.07200000000000001,-0.216,0.02,-1.5324768712979722,0.0925925925925926,38.4975,0.028,0.207,0.02,-1.575036485716768,0.09661835748792272
39.044,0.021,-0.216,0.02,-1.5324768712979722,0.0925925925925926,39.589000000000006,0.037,0.20299999999999999,0.02,-1.5945492999403499,0.09852216748768473
40.135,0.029,-0.21200000000000002,0.02,-1.5511690043101245,0.09433962264150943,40.6795,0.044,0.19799999999999998,0.02,-1.6194882482876019,0.10101010101010102
41.2255,0.036000000000000004,-0.20700000000000002,0.02,-1.5750364857167678,0.0966183574879227,41.7705,0.052000000000000005,0.19399999999999998,0.02,-1.639897119918809,0.10309278350515465
42.316500000000005,0.052000000000000005,-0.203,0.02,-1.5945492999403497,0.09852216748768472,42.8615,0.062,0.19,0.02,-1.6607312068216509,0.10526315789473684
43.407000000000004,0.063,-0.199,0.02,-1.6144504542576446,0.10050251256281406,43.9525,0.07,0.185,0.02,-1.6873994539038122,0.10810810810810811
44.4985,0.07,-0.194,0.02,-1.6398971199188088,0.10309278350515463,45.047,0.021,0.185,0.02,-1.6873994539038122,0.10810810810810811
45.591499999999996,0.026000000000000002,-0.194,0.02,-1.6398971199188088,0.10309278350515463,46.135,0.047,0.181,0.02,-1.7092582477163114,0.11049723756906078
46.681,0.045,-0.19,0.02,-1.6607312068216509,0.10526315789473684,47.226,0.055,0.177,0.02,-1.731605546408308,0.11299435028248589
47.771,0.059000000000000004,-0.186,0.02,-1.6820086052689358,0.10752688172043011,48.316,0.07100000000000001,0.172,0.02,-1.760260802168684,0.11627906976744187
48.8615,0.074,-0.18100000000000002,0.02,-1.7092582477163112,0.11049723756906077,49.408500000000004,0.028,0.172,0.02,-1.760260802168684,0.11627906976744187
49.952999999999996,0.037,-0.18100000000000002,0.02,-1.7092582477163112,0.11049723756906077,50.498000000000005,0.051000000000000004,0.16799999999999998,0.02,-1.7837912995788783,0.11904761904761907
51.043,0.059000000000000004,-0.17700000000000002,0.02,-1.7316055464083078,0.11299435028248586,51.5875,0.07,0.16399999999999998,0.02,-1.8078888511579387,0.12195121951219513
52.1325,0.074,-0.17200000000000001,0.02,-1.7602608021686839,0.11627906976744186,52.68,0.031,0.16399999999999998,0.02,-1.8078888511579387,0.12195121951219513
53.224,0.039,-0.17200000000000001,0.02,-1.7602608021686839,0.11627906976744186,53.7685,0.056,0.159,0.02,-1.8388510767619055,0.12578616352201258
54.3135,0.064,-0.168,0.02,-1.783791299578878,0.11904761904761904,54.858,0.077,0.155,0.02,-1.8643301620628905,0.12903225806451613
55.4035,0.084,-0.164,0.02,-1.8078888511579385,0.12195121951219512,55.9495,0.046,0.155,0.02,-1.8643301620628905,0.12903225806451613
56.4945,0.056,-0.164,0.02,-1.8078888511579385,0.12195121951219512,57.038999999999994,0.07100000000000001,0.15,0.02,-1.8971199848858813,0.13333333333333333
57.584,0.079,-0.159,0.02,-1.8388510767619055,0.12578616352201258,58.131,0.031,0.15,0.02,-1.8971199848858813,0.13333333333333333
58.675,0.045,-0.159,0.02,-1.8388510767619055,0.12578616352201258,59.219,0.065,0.146,0.02,-1.9241486572738007,0.13698630136986303
59.764,0.069,-0.155,0.02,-1.8643301620628905,0.12903225806451613,60.312999999999995,0.017,0.146,0.02,-1.9241486572738007,0.13698630136986303
60.8565,0.026000000000000002,-0.155,0.02,-1.8643301620628905,0.12903225806451613,61.399499999999996,0.058,0.142,0.02,-1.9519282213808764,0.14084507042253522
61.944,0.065,-0.15100000000000002,0.02,-1.8904754421672125,0.1324503311258278,62.488499999999995,0.084,0.13699999999999998,0.02,-1.9877743531540122,0.14598540145985403
63.033500000000004,0.088,-0.14600000000000002,0.02,-1.9241486572738005,0.136986301369863,63.578500000000005,0.056,0.13699999999999998,0.02,-1.9877743531540122,0.14598540145985403
64.1235,0.064,-0.14600000000000002,0.02,-1.9241486572738005,0.136986301369863,64.668,0.083,0.13299999999999998,0.02,-2.0174061507603835,0.15037593984962408
65.21300000000001,0.089,-0.14200000000000002,0.02,-1.9519282213808762,0.1408450704225352,65.7585,0.054,0.13299999999999998,0.02,-2.0174061507603835,0.15037593984962408
66.303,0.065,-0.138,0.02,-1.9805015938249322,0.14492753623188404,66.847,0.085,0.13299999999999998,0.02,-2.0174061507603835,0.15037593984962408
67.3975,0.018000000000000002,-0.138,0.02,-1.9805015938249322,0.14492753623188404,67.9375,0.058,0.13299999999999998,0.02,-2.0174061507603835,0.15037593984962408
68.4815,0.066,-0.133,0.02,-2.017406150760383,0.15037593984962405,69.026,0.085,0.129,0.02,-2.047942874620465,0.15503875968992248
69.5745,0.022,-0.133,0.02,-2.017406150760383,0.15037593984962405,70.116,0.059000000000000004,0.129,0.02,-2.047942874620465,0.15503875968992248
