min.x,δ(min.x),min.y,δ(min.y),min.y.exp,δ(min.y.exp),max.x,δ(max.x),max.y,δ(max.y),max.y.exp,δ(max.y.exp)
50.32,0.099,-0.094,0.02,1.0985597459171736,0.021971194918343474,50.9585,0.074,0.107,0.02,1.0985597459171736,0.021971194918343474
51.596,0.125,-0.089,0.02,1.0930806563263302,0.021861613126526604,52.23500000000001,0.107,0.103,0.02,1.0930806563263302,0.021861613126526604
52.873999999999995,0.081,-0.089,0.02,1.0930806563263302,0.021861613126526604,53.515,0.047,0.103,0.02,1.0930806563263302,0.021861613126526604
54.150499999999994,0.116,-0.085,0.02,1.0887170666983987,0.021774341333967974,54.789,0.097,0.098,0.02,1.0887170666983987,0.021774341333967974
55.429,0.063,-0.085,0.02,1.0887170666983987,0.021774341333967974,56.066,0.125,0.094,0.02,1.0887170666983987,0.021774341333967974
56.7045,0.10200000000000001,-0.081,0.02,1.0843708965667604,0.02168741793133521,57.34349999999999,0.08,0.094,0.02,1.0843708965667604,0.02168741793133521
57.987,0.031,-0.081,0.02,1.0843708965667604,0.02168741793133521,58.619,0.121,0.09,0.02,1.0843708965667604,0.02168741793133521
59.2585,0.098,-0.076,0.02,1.078962574157284,0.02157925148314568,59.897000000000006,0.077,0.09,0.02,1.078962574157284,0.02157925148314568
60.534,0.137,-0.07200000000000001,0.02,1.0746553440638136,0.021493106881276272,61.173500000000004,0.122,0.08499999999999999,0.02,1.0746553440638136,0.021493106881276272
61.8115,0.096,-0.07200000000000001,0.02,1.0746553440638136,0.021493106881276272,62.451499999999996,0.07200000000000001,0.08499999999999999,0.02,1.0746553440638136,0.021493106881276272
63.0875,0.136,-0.067,0.02,1.0692954781746002,0.021385909563492005,63.7265,0.122,0.081,0.02,1.0692954781746002,0.021385909563492005
64.3655,0.092,-0.067,0.02,1.0692954781746002,0.021385909563492005,65.0045,0.07,0.081,0.02,1.0692954781746002,0.021385909563492005
65.641,0.133,-0.063,0.02,1.0650268392313054,0.02130053678462611,66.28,0.11900000000000001,0.077,0.02,1.0650268392313054,0.02130053678462611
